FaceID,X,Y,Z,U_std,V_std,U_fast,V_fast,U_diff,V_diff,PixelX_std,PixelY_std,PixelX_fast,PixelY_fast,URegion_std,URegion_fast
61,-0.389009855,-0.140617,0.910438461,0.8142664659041728,0.45509138364626694,0.8142664659041728,0.45479102543307987,0.0,0.00030035821318707967,259,72,259,72,other,other
62,-0.283877929,-0.068322372,0.95642322,0.7959208965207317,0.47823535840809894,0.7959208965207317,0.47820137663787965,0.0,3.3981770219293495e-05,253,76,253,76,other,other
63,-0.181447719,7.96e-10,0.983400592,0.7790391575250002,0.5000000002533747,0.7790391575250002,0.5000000002533747,0.0,0.0,248,79,248,79,other,other
64,-0.079979697,-0.058108062,0.995101352,0.7627643884696492,0.48149320456950423,0.7627643884696492,0.4814723231605776,0.0,2.088140892664292e-05,243,76,243,76,u075,u075
65,-0.174828602,-0.127019037,0.976371407,0.7781993642000293,0.45945906883680265,0.7781993642000293,0.4592384274447693,0.0,0.00022064139203337163,248,73,248,73,other,other
66,-0.275291972,-0.200009092,0.940324781,0.7953279432350822,0.4359028294128629,0.7953279432350822,0.4350221897474467,0.0,0.000880639665416183,253,69,253,69,other,other
67,-0.376391953,-0.273461672,0.885182361,0.8139885493434502,0.4118313288196383,0.8139885493434502,0.40950504096322377,0.0,0.002326287856414533,259,65,259,65,other,other
68,-0.472190745,-0.343062824,0.811999876,0.8338296582676854,0.3885356215525035,0.8338296582676854,0.38374444813253894,0.0,0.004791173419964545,265,61,265,61,other,other
69,-0.55730705,-0.404902582,0.724888095,0.854315924013714,0.36730543009311717,0.854315924013714,0.35904401024725685,0.0,0.008261419845860318,272,58,272,57,other,other
70,-0.628320902,-0.456496616,0.629939429,0.8747952757277996,0.3491040525312365,0.8747952757277994,0.3366828383950745,2.220446049250313e-16,0.012421214136161984,279,55,279,53,other,other
71,-0.68429342,-0.497162506,0.533452864,0.8946143935217821,0.3343752789198223,0.8946143935217821,0.31761034666740984,0.0,0.01676493225241249,285,53,285,50,other,other
72,-0.595794789,-0.564694641,0.571094154,0.8783684792102194,0.30899394830257043,0.8783684792102194,0.2822029521154623,0.0,0.026790996187108118,280,49,280,44,other,other
73,-0.528861431,-0.52216169,0.669068574,0.8564566830599966,0.325125747784957,0.8564566830599966,0.305112378217063,0.0,0.020013369567894013,273,51,273,48,other,other
74,-0.492942963,-0.632712048,0.597229185,0.8598213733266594,0.28194168242967693,0.8598213733266594,0.23992530872787485,0.0,0.042016373701802084,274,44,274,38,other,other
75,-0.373568973,-0.694660382,0.614730165,0.8369079905826369,0.25555466539101596,0.8369079905826369,0.19260999570578768,0.0,0.06294466968522827,266,40,266,30,other,other
76,-0.414637947,-0.586726747,0.695576809,0.8355540276949575,0.3004162740731052,0.8355540276949575,0.269369737425172,0.0,0.03104653664793322,266,47,266,42,other,other
77,-0.447494234,-0.46713261,0.762585101,0.8344581397777564,0.34528706427532185,0.8344581397777564,0.331830955699502,0.0,0.013456108575819858,266,54,266,52,other,other
78,-0.354230631,-0.400817851,0.84490574,0.8131835905733409,0.36872602075221284,0.8131835905733409,0.36073983163352424,0.0,0.007986189118688591,259,58,259,57,other,other
79,-0.323472903,-0.526451473,0.786265939,0.812117941386991,0.3235221821872675,0.812117941386991,0.30290086127492816,0.0,0.02062132091233937,259,51,259,48,other,other
80,-0.28537025,-0.643723795,0.710058798,0.8108195252472865,0.2773885705703556,0.8108195252472865,0.23224236698406128,0.0,0.045146203586294315,258,44,258,36,other,other
81,-0.242236492,-0.745513156,0.620911923,0.8092007175857091,0.2322044772534798,0.8092007175857091,0.2322044772534798,0.0,0.0,258,36,258,36,other,other
82,-0.106096205,-0.781569116,0.614730276,0.7772005632053314,0.21441962477539203,0.7772005632053314,0.21441962477539203,0.0,0.0,247,34,247,34,other,other
83,-0.147509641,-0.688518268,0.710058801,0.7825996122069984,0.25826149399837534,0.7825996122069984,0.19779863444584048,0.0,0.06046285955253486,249,41,249,31,other,other
84,-0.187593828,-0.577343546,0.794659038,0.7868959567906828,0.3040893451240757,0.7868959567906828,0.27492485264689953,0.0,0.029164492477176174,251,48,251,43,other,other
85,-0.223715256,-0.453973687,0.862472826,0.7903927117075988,0.3500060062682653,0.7903927117075988,0.3378205776836573,0.0,0.012185428584607971,252,55,252,53,other,other
86,-0.253947767,-0.326514061,0.91043896,0.7932925678671805,0.39412594904561393,0.7932925678671805,0.3900407370093081,0.0,0.004085212036305852,253,62,253,62,other,other
87,-0.152703072,-0.248869034,0.956423534,0.7751980840569249,0.41994112479051654,0.7751980840569249,0.4182091526845106,0.0,0.0017319721060059523,247,66,247,66,other,other
88,-0.121423119,-0.373694857,0.91956978,0.770894484122769,0.37809072234462193,0.770894484122769,0.3717583423745931,0.0,0.006332379970028834,245,60,245,59,other,other
89,-0.085855088,-0.498767919,0.862472879,0.7657910981361226,0.33378600224065696,0.7657910981361226,0.31682676532982373,0.0,0.01695923691083323,244,53,244,50,u075,u075
90,-0.047752107,-0.616040131,0.786266045,0.7596540610469523,0.28873590562307877,0.7596540610469523,0.2510626032296758,0.0,0.037673302393402996,242,45,242,39,u075,u075
91,-0.009428102,-0.718389689,0.695577002,0.7521571115064687,0.24487950156008556,0.7521571115064687,0.24487950156008556,0.0,0.0,239,38,239,38,u075,u075
92,0.026891631,-0.801619553,0.59722938,0.7428385186762445,0.2039720123529931,0.7428385186762445,0.2039720123529931,0.0,0.0,236,32,236,32,u075,u075
93,0.150080241,-0.807048395,0.571094397,0.7090998126197247,0.2010636337708512,0.7090998126197247,0.2010636337708512,0.0,0.0,226,31,226,31,other,other
94,0.120930992,-0.733295674,0.669068867,0.7215407620071685,0.2379811204066574,0.7215407620071685,0.2379811204066574,0.0,0.0,230,37,230,37,other,other
95,0.087449792,-0.640949368,0.762585366,0.7318282193991346,0.27854084451999467,0.7318282193991346,0.23420401700395155,0.0,0.04433682751604312,233,44,233,37,u075,u075
96,0.050977981,-0.532480266,0.844905919,0.7404089039899616,0.32126005508386113,0.7404089039899616,0.299757515315658,0.0,0.021502539768203155,236,51,236,47,u075,u075
97,0.01352336,-0.413422178,0.910439027,0.7476361389843239,0.36433337364109675,0.7476361389843239,0.3554742846321659,0.0,0.008859089008930843,238,57,238,56,u075,u075
98,-0.02274537,-0.291095547,0.956423562,0.7537842604291641,0.4059802432643196,0.7537842604291641,0.4031470963098624,0.0,0.0028331469544571886,240,64,240,64,u075,u075
99,-0.056071144,-0.172565956,0.983400741,0.7590648171409544,0.4447942066684221,0.7590648171409544,0.4442339458775133,0.0,0.0005602607909088175,242,70,242,70,u075,u075
100,0.030549126,-0.094021175,0.995101387,0.7451155551491975,0.4700278605323949,0.7451155551491975,0.46993896606411173,0.0,8.889446828319603e-05,237,74,237,74,u075,u075
101,0.066777472,-0.205522395,0.976371504,0.7391317601040238,0.43411065966014,0.7391317601040238,0.4331531713182919,0.0,0.0009574883418481117,235,69,235,68,u075,u075
102,0.105150303,-0.323623798,0.940324971,0.7322763886373409,0.3950987831006392,0.7322763886373409,0.3911285179640384,0.0,0.003970265136600759,233,62,233,62,u075,u075
103,0.143766318,-0.442473632,0.885182654,0.7243747165024161,0.35410102549155864,0.724374716502416,0.342945322656348,1.1102230246251565e-16,0.011155702835210668,231,56,231,54,other,other
104,0.180357511,-0.555091619,0.812000285,0.7152140059779701,0.3126831916672008,0.7152140059779701,0.28757701189705587,0.0,0.025106179770144954,228,49,228,45,other,other
105,0.212868404,-0.655151551,0.724888604,0.7045410268186101,0.2726047647634301,0.70454102681861,0.22396835126304593,1.1102230246251565e-16,0.04863641350038417,224,43,224,35,other,other
106,0.239992761,-0.738633344,0.629939885,0.6920674943928775,0.23547151563460744,0.6920674943928775,0.23547151563460744,0.0,0.0,220,37,220,37,other,other
107,0.261371961,-0.804432868,0.533453333,0.6774913698180435,0.2024693345620734,0.6774913698180435,0.2024693345620734,0.0,0.0,216,32,216,32,other,other
108,0.352947486,-0.741133792,0.571094365,0.6618975665577196,0.2342884053459277,0.6618975665577196,0.2342884053459277,0.0,0.0,211,37,211,37,other,other
109,0.333179804,-0.664332905,0.669068764,0.6764661764078134,0.2687157334319412,0.6764661764078134,0.21708146150790256,0.0,0.05163427192403866,215,42,215,34,other,other
110,0.449420088,-0.664333485,0.597229106,0.6473283928518143,0.26871548620511926,0.6473283928518143,0.21708101897362472,0.0,0.051634467231494535,206,42,206,34,other,other
111,0.54522602,-0.569944019,0.614729536,0.6345250357575855,0.30696487711877113,0.6345250357575855,0.27921083934226004,0.0,0.027754037776511087,202,48,202,44,other,other
112,0.429883046,-0.575650655,0.69557666,0.6618970587054032,0.30474882938906717,0.6618970587054032,0.27591262187566296,0.0,0.02883620751340421,211,48,211,43,other,other
113,0.305987863,-0.569943079,0.762585283,0.6892690068391802,0.30696524119016994,0.6892690068391802,0.2792113785760012,0.0,0.027753862614168734,219,48,219,44,other,other
114,0.271738768,-0.460751862,0.844905772,0.7004754444089657,0.34757980871099364,0.7004754444089657,0.33475258481959863,0.0,0.012827223891395012,223,55,223,53,other,other
115,0.400729396,-0.470321557,0.786265594,0.674982795603149,0.34413793601899756,0.674982795603149,0.3303582668720016,0.0,0.013779669146995965,215,54,215,52,other,other
116,0.524037391,-0.470321874,0.710057848,0.6488108514766507,0.34413782165635587,0.6488108514766506,0.33035812002684073,1.1102230246251565e-16,0.01377970162951514,206,54,206,52,other,other
117,0.634174233,-0.460752787,0.620910551,0.6233181200185847,0.34757947704005693,0.6233181200185847,0.3347521637609915,0.0,0.012827313279065444,198,55,198,53,other,other
118,0.710535213,-0.342416955,0.614727858,0.6135141798702322,0.3887544632038592,0.6135141798702322,0.3839924191063958,0.0,0.0047620440974633915,195,61,195,61,other,other
119,0.609241107,-0.353050043,0.710056998,0.637138442626002,0.38514453743163884,0.637138442626002,0.3798858638521432,0.0,0.005258673579495665,203,61,203,60,other,other
