FaceID,X,Y,Z,U,V,PixelX,PixelY,URegion
74,-0.492942963,-0.632712048,0.597229185,0.8598213733266594,0.28194168242967693,274,44,other
75,-0.373568973,-0.694660382,0.614730165,0.8369079905826369,0.25555466539101596,266,40,other
76,-0.414637947,-0.586726747,0.695576809,0.8355540276949575,0.3004162740731052,266,47,other
77,-0.447494234,-0.46713261,0.762585101,0.8344581397777564,0.34528706427532185,266,54,other
78,-0.354230631,-0.400817851,0.84490574,0.8131835905733409,0.36872602075221284,259,58,other
79,-0.323472903,-0.526451473,0.786265939,0.812117941386991,0.3235221821872675,259,51,other
80,-0.28537025,-0.643723795,0.710058798,0.8108195252472865,0.2773885705703556,258,44,other
81,-0.242236492,-0.745513156,0.620911923,0.8092007175857091,0.2322044772534798,258,36,other
82,-0.106096205,-0.781569116,0.614730276,0.7772005632053314,0.21441962477539203,247,34,other
83,-0.147509641,-0.688518268,0.710058801,0.7825996122069984,0.25826149399837534,249,41,other
84,-0.187593828,-0.577343546,0.794659038,0.7868959567906828,0.3040893451240757,251,48,other
85,-0.223715256,-0.453973687,0.862472826,0.7903927117075988,0.3500060062682653,252,55,other
86,-0.253947767,-0.326514061,0.91043896,0.7932925678671805,0.39412594904561393,253,62,other
87,-0.152703072,-0.248869034,0.956423534,0.7751980840569249,0.41994112479051654,247,66,other
88,-0.121423119,-0.373694857,0.91956978,0.770894484122769,0.37809072234462193,245,60,other
89,-0.085855088,-0.498767919,0.862472879,0.7657910981361226,0.33378600224065696,244,53,u075
90,-0.047752107,-0.616040131,0.786266045,0.7596540610469523,0.28873590562307877,242,45,u075
91,-0.009428102,-0.718389689,0.695577002,0.7521571115064687,0.24487950156008556,239,38,u075
92,0.026891631,-0.801619553,0.59722938,0.7428385186762445,0.2039720123529931,236,32,u075
93,0.150080241,-0.807048395,0.571094397,0.7090998126197247,0.2010636337708512,226,31,other
94,0.120930992,-0.733295674,0.669068867,0.7215407620071685,0.2379811204066574,230,37,other
95,0.087449792,-0.640949368,0.762585366,0.7318282193991346,0.27854084451999467,233,44,u075
96,0.050977981,-0.532480266,0.844905919,0.7404089039899616,0.32126005508386113,236,51,u075
97,0.01352336,-0.413422178,0.910439027,0.7476361389843239,0.36433337364109675,238,57,u075
98,-0.02274537,-0.291095547,0.956423562,0.7537842604291641,0.4059802432643196,240,64,u075
99,-0.056071144,-0.172565956,0.983400741,0.7590648171409544,0.4447942066684221,242,70,u075
100,0.030549126,-0.094021175,0.995101387,0.7451155551491975,0.4700278605323949,237,74,u075
101,0.066777472,-0.205522395,0.976371504,0.7391317601040238,0.43411065966014,235,69,u075
102,0.105150303,-0.323623798,0.940324971,0.7322763886373409,0.3950987831006392,233,62,u075
103,0.143766318,-0.442473632,0.885182654,0.7243747165024161,0.35410102549155864,231,56,other
104,0.180357511,-0.555091619,0.812000285,0.7152140059779701,0.3126831916672008,228,49,other
105,0.212868404,-0.655151551,0.724888604,0.7045410268186101,0.2726047647634301,224,43,other
106,0.239992761,-0.738633344,0.629939885,0.6920674943928775,0.23547151563460744,220,37,other
107,0.261371961,-0.804432868,0.533453333,0.6774913698180435,0.2024693345620734,216,32,other
108,0.352947486,-0.741133792,0.571094365,0.6618975665577196,0.2342884053459277,211,37,other
109,0.333179804,-0.664332905,0.669068764,0.6764661764078134,0.2687157334319412,215,42,other
110,0.449420088,-0.664333485,0.597229106,0.6473283928518143,0.26871548620511926,206,42,other
111,0.54522602,-0.569944019,0.614729536,0.6345250357575855,0.30696487711877113,202,48,other
112,0.429883046,-0.575650655,0.69557666,0.6618970587054032,0.30474882938906717,211,48,other
113,0.305987863,-0.569943079,0.762585283,0.6892690068391802,0.30696524119016994,219,48,other
114,0.271738768,-0.460751862,0.844905772,0.7004754444089657,0.34757980871099364,223,55,other
115,0.400729396,-0.470321557,0.786265594,0.674982795603149,0.34413793601899756,215,54,other
116,0.524037391,-0.470321874,0.710057848,0.6488108514766507,0.34413782165635587,206,54,other
117,0.634174233,-0.460752787,0.620910551,0.6233181200185847,0.34757947704005693,198,55,other
